image_id,device_id,timestamp,source_type,image_path,processed_path,width,height,brightness,processing_status,processing_time_ms,note
img_2d74745232,simulated_camera,2026-06-09T07:36:26,demo_script,data/raw_images/img_2d74745232.jpg,data/processed_images/img_2d74745232_processed_steps.jpg,640,360,233.55,processed,171.03,demo_frame=0
img_e35d0bf94d,simulated_camera,2026-06-09T07:36:26,demo_script,data/raw_images/img_e35d0bf94d.jpg,data/processed_images/img_e35d0bf94d_processed_steps.jpg,640,360,233.55,processed,7.17,demo_frame=1
img_494650f8dd,camera:no_camera_fallback,2026-06-09T07:36:29,motion_capture,data/raw_images/img_494650f8dd.jpg,data/processed_images/img_494650f8dd_processed_steps.jpg,640,360,233.55,processed,5.06,"motion_score=1162.0, threshold=25, min_area=800"
img_5a2608ac93,camera:0,2026-06-10T08:07:15,motion_capture,data/raw_images/img_5a2608ac93.jpg,data/processed_images/img_5a2608ac93_processed_steps.jpg,1280,720,74.42,processed,6.49,"motion_score=71183.5, threshold=25, min_area=800, person_score=0.35, persons=1"
img_2a9bb9c3a5,camera:0,2026-06-10T08:07:16,motion_capture,data/raw_images/img_2a9bb9c3a5.jpg,data/processed_images/img_2a9bb9c3a5_processed_steps.jpg,1280,720,74.42,processed,5.63,"motion_score=71183.5, threshold=25, min_area=800, person_score=0.35, persons=1"
img_98e366dda1,camera:0,2026-06-10T08:07:22,camera_person_detection,data/raw_images/img_98e366dda1.jpg,data/processed_images/img_98e366dda1_processed_steps.jpg,1280,720,4.5,processed,3.89,"detect-person endpoint, person_score=0.35, persons=0"
img_1f26a1fc44,camera:0,2026-06-10T08:07:35,camera_person_detection,data/raw_images/img_1f26a1fc44.jpg,data/processed_images/img_1f26a1fc44_processed_steps.jpg,1280,720,4.88,processed,4.86,"detect-person endpoint, person_score=0.35, persons=0"
img_803879ff6a,camera:0,2026-06-10T08:08:32,motion_capture,data/raw_images/img_803879ff6a.jpg,data/processed_images/img_803879ff6a_processed_steps.jpg,1280,720,73.02,processed,5.14,"motion_score=74093.5, threshold=25, min_area=500, person_score=0.2, persons=0"
img_eda34b60aa,camera:0,2026-06-10T08:12:52,camera_person_detection,data/raw_images/img_eda34b60aa.jpg,data/processed_images/img_eda34b60aa_processed_steps.jpg,1280,720,120.58,processed,8.9,"detect-person endpoint, person_score=0.2, persons=0"
img_2b909ad116,camera:0,2026-06-10T08:13:00,motion_capture,data/raw_images/img_2b909ad116.jpg,data/processed_images/img_2b909ad116_processed_steps.jpg,1280,720,117.19,processed,7.18,"motion_score=5497.5, threshold=25, min_area=500, person_score=0.2, persons=0"
